CODE1,CODE2,CORRELATION,DELAY
FUNCEX12_MPPLAS2N12,FUNCEX12_XPM12,0.9405542554285794,-3
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.9405412914714244,12
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.9405210216537644,7
FUNCEX12_MPPLAS2N12,FUNCEX12_XPM12,0.940519171761612,-2
ELETRO12_CEETT12,BM12_DINGFN12,0.9405168130145892,3
BM12_DINGFN12,ABATE12_ABQUSU12,0.940499900677843,5
FUNCEX12_MQDIV2N12,FUNCEX12_XQFARM2N12,0.9404300906549772,-3
FUNCEX12_MPBEB2N12,FUNCEX12_MPQUIM2N12,0.9404112781104,-7
ELETRO12_CEETCOM12,BM12_DINGFN12,0.940382181228398,5
FUNCEX12_MPAL2N12,FUNCEX12_MPQUIM2N12,0.9402938684892724,1
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.9402708439590728,8
FUNCEX12_MVMAQINF2N12,FUNCEX12_XPM12,0.9402678206918657,2
FUNCEX12_XPM12,FUNCEX12_XVQUIM2N12,0.9402593423776636,-5
FUNCEX12_XQPAP2N12,IGP12_IGPOG12,0.9402043898747404,-10
FUNCEX12_MVVEIC2N12,FUNCEX12_XPT12,0.9401703416401728,-2
FUNCEX12_MVVEIC2N12,FUNCEX12_XPM12,0.9401687746878626,1
FUNCEX12_MQDIV2N12,FUNCEX12_XQFARM2N12,0.9401475886791778,-2
FUNCEX12_XPB12,FUNCEX12_XPM12,0.9400610642289308,6
BM12_DINGFN12,ABATE12_ABQUSU12,0.9400610031132072,4
FUNCEX12_MPQUIM2N12,FUNCEX12_XPB12,0.9400387162772303,-4
ELETRO12_CEEOUT12,FUNCEX12_XQFARM2N12,0.9400058025495728,-3
FUNCEX12_XQPAP2N12,IGP12_IPAI12,0.9399141902086332,-12
ELETRO12_CEEOUT12,FUNCEX12_MQPES2N12,0.939906619270226,3
ELETRO12_CEEOUT12,IGP12_IGPOG12,0.9398775541489356,-8
ABATE12_ABQUSU12,ELETRO12_CEERES12,0.9398715101571018,-4
ABATE12_ABQUSU12,FUNCEX12_XQPAP2N12,0.939864214578059,9
ABATE12_ABQUSU12,IGP12_IPAI12,0.9398513712957812,4
ELETRO12_CEETIND12,IGP12_IPAA12,0.939844867077867,-9
FUNCEX12_MDPT12,FUNCEX12_XVQUIM2N12,0.939830702249008,-3
FUNCEX12_MVMAQINF2N12,FUNCEX12_XPT12,0.9398003547604532,-1
FUNCEX12_XPS12,FUNCEX12_XVQUIM2N12,0.9397708558591836,-2
ABATE12_ABPESU12,ELETRO12_CEEOUT12,0.9397632391989004,5
FUNCEX12_MPAL2N12,BPAG12_SERR12,0.9396837981381024,-1
FUNCEX12_MPAL2N12,FUNCEX12_MVPLAS2N12,0.9396712997857796,2
FUNCEX12_MPAL2N12,FUNCEX12_MPQUIM2N12,0.9396437251397334,3
FUNCEX12_MPBEB2N12,FUNCEX12_MPPLAS2N12,0.9395952109444988,-1
FUNCEX12_TTR12,FUNCEX12_XPB12,0.9395923784567076,2
FUNCEX12_MDPT12,FUNCEX12_MPBEB2N12,0.9395831479677048,4
FUNCEX12_MPQUIM2N12,FUNCEX12_XPT12,0.939577323817923,-6
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9395563024656662,-2
ABATE12_ABPESU12,ELETRO12_CEERES12,0.9395496530944458,7
FUNCEX12_MPBEB2N12,FUNCEX12_MPPLAS2N12,0.9395392775722304,-3
BM12_DINGFN12,IGP12_IGPOG12,0.9395367115239736,8
FUNCEX12_MVMNM2N12,FUNCEX12_XPT12,0.9394876024882078,-4
ELETRO12_CEETIND12,ABATE12_ABQUSU12,0.9394838579179976,-3
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.939476754788311,-7
FUNCEX12_MVVEIC2N12,FUNCEX12_XPT12,0.9394765722326248,1
ELETRO12_CEETT12,IGP12_IPAA12,0.9394639162451052,-12
BM12_DINGFN12,IGP12_IGPF12,0.9394337626191156,8
FUNCEX12_MPBEB2N12,FUNCEX12_MPQUIM2N12,0.9394335700776488,-1
ABATE12_ABPESU12,IGP12_IPAI12,0.939394672994784,3
BM12_DINGFN12,ABATE12_ABPESU12,0.9393927508825596,7
ELETRO12_CEET12,FUNCEX12_MQDIV2N12,0.9393842079166814,-4
ELETRO12_CEETT12,IGP12_IPAA12,0.9393722067640654,-11
ELETRO12_CEEOUT12,FUNCEX12_MPMAD2N12,0.939344227100667,-8
BM12_DINGFN12,ABATE12_ABQUSU12,0.9393371455173882,3
ABATE12_ABPESU12,ELETRO12_CEEOUT12,0.9393322852627204,6
FUNCEX12_MPAGP2N12,FUNCEX12_XPM12,0.9393284880103974,4
FUNCEX12_MPPLAS2N12,FUNCEX12_XPM12,0.939313011003964,3
ELETRO12_CEERES12,FUNCEX12_MQDIV2N12,0.9392894938471196,-4
FUNCEX12_XPM12,BPAG12_SERTRANSD12,0.9392678566953953,-4
ABATE12_ABQUSU12,IGP12_IPAA12,0.9392423911822676,-8
BM12_DINGFN12,IGP12_IGPF12,0.9392142997985938,-11
FUNCEX12_MVVEIC2N12,FUNCEX12_XPB12,0.9391957344504812,-1
FUNCEX12_MVPLAS2N12,FUNCEX12_XPM12,0.9391876023593788,2
ELETRO12_CEETIND12,ABATE12_ABPESU12,0.9391579177978124,6
FUNCEX12_XPS12,FUNCEX12_XVQUIM2N12,0.9391357575484116,1
FUNCEX12_MPCAL2N12,FUNCEX12_MVAL2N12,0.9391220825481482,-6
ELETRO12_CEET12,FUNCEX12_MQDIV2N12,0.9391174724873724,7
FUNCEX12_MDPT12,FUNCEX12_MPBEB2N12,0.939038910252355,5
ELETRO12_CEERES12,IGP12_IGPOG12,0.9390161619769788,-10
FUNCEX12_MPCAL2N12,BPAG12_SEROUTROSD12,0.938984932498248,-8
FUNCEX12_MVPLAS2N12,FUNCEX12_XPT12,0.9389537607660162,-1
BM12_DINGFN12,ABATE12_ABQUSU12,0.9389008948014012,1
