CODE,DESCRICAO,GRANDE_TEMA,FONTE,MEDIDA
ANDA12_MFERTILIZ12,Importações - fertilizantes - quantidade,Macroeconômico,Associação Nacional para Difusão de Adubos (Anda),Tonelada
BM12_TFPPNCN12,Meio de pagamento ampliado -  M4 - títulos federais (Selic) - fim de período,Macroeconômico,"Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda)",R$
ANFAVE12_LICCAMINM12,Licenciamento Importados - Caminhões - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICCAMINN12,Licenciamento Nacionais - Caminhões - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICCAMINTOT12,Licenciamento total - Caminhões - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICNCL12,Licenciamento Nacionais - Veículos comerciais leves - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICNONI12,Licenciamento Nacionais - Ônibus - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICONIM12,Licenciamento Importados - Ônibus - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICONITOT12,Licenciamento total - Ônibus - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICPASSAMM12,Licenciamento Importados - Automóveis - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICPASSAMN12,Licenciamento Nacionais - Automóveis - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICPASSAMTOT12,Licenciamento total - Automóveis - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICVEM12,Licenciamento Importados - Autoveículos - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_LICVETOT12,Licenciamento total - Autoveículos - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_XCAMINM12,Exportações - caminhões - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_XPASSAM12,Exportações - automóveis - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_XONIBUM12,Exportações - ônibus - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_XVETOTM12,Exportações - autoveículos - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
ANFAVE12_XVEICLM12,Exportações - veículos comerciais leves - montados - qde.,Macroeconômico,"Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea)",Unidade
